Date,Close/Last,Volume,Open,High,Low
08/05/2021,$9.77,34464190,$9.95,$9.9508,$9.635
08/04/2021,$9.9,23984190,$9.92,$10.06,$9.82
08/03/2021,$9.87,29273960,$10,$10,$9.645
08/02/2021,$10.06,15653700,$10.118,$10.175,$10.035
07/30/2021,$10.1,18247060,$10.12,$10.305,$10.09
07/29/2021,$10.21,7716902,$10.26,$10.35,$10.2
07/28/2021,$10.25,17781850,$10.18,$10.34,$10.12
07/27/2021,$10.14,24992760,$10.31,$10.35,$9.93
07/26/2021,$10.35,15976520,$10.44,$10.55,$10.32
07/23/2021,$10.45,8442638,$10.36,$10.49,$10.25
07/22/2021,$10.34,10454920,$10.45,$10.47,$10.31
07/21/2021,$10.44,11752500,$10.47,$10.515,$10.36
07/20/2021,$10.47,12824740,$10.4,$10.55,$10.28
07/19/2021,$10.37,11789620,$10.22,$10.475,$10.17
07/16/2021,$10.32,8255008,$10.27,$10.38,$10.21
07/15/2021,$10.28,12170060,$10.53,$10.61,$10.24
07/14/2021,$10.53,8869889,$10.7,$10.78,$10.5
07/13/2021,$10.64,5642625,$10.59,$10.74,$10.59
07/12/2021,$10.63,11518770,$10.57,$10.715,$10.55
07/09/2021,$10.53,24606590,$10.6,$10.625,$10.28
07/08/2021,$10.68,15915530,$10.58,$10.77,$10.45
07/07/2021,$10.86,17908130,$11.18,$11.18,$10.775
07/06/2021,$11.16,17971640,$10.95,$11.25,$10.9
07/02/2021,$10.91,18630380,$10.81,$10.91,$10.6
07/01/2021,$10.77,18020560,$10.56,$10.89,$10.45
06/30/2021,$10.63,9709146,$10.7,$10.73,$10.575
06/29/2021,$10.78,8005500,$10.78,$10.8,$10.6
06/28/2021,$10.78,13888080,$10.71,$10.95,$10.67
06/25/2021,$10.65,22377960,$10.47,$10.74,$10.41
06/24/2021,$10.44,11046890,$10.317,$10.48,$10.31
06/23/2021,$10.27,16213100,$10.35,$10.48,$10.21
06/22/2021,$10.33,7904252,$10.47,$10.52,$10.295
06/21/2021,$10.48,16292940,$10.34,$10.585,$10.15
06/18/2021,$10.32,20182540,$10.49,$10.57,$10.23
06/17/2021,$10.58,17857640,$10.2,$10.75,$10.17
06/16/2021,$10.29,23880540,$10.18,$10.38,$9.96
06/15/2021,$10.4,8139427,$10.67,$10.705,$10.33
06/14/2021,$10.65,9151608,$10.625,$10.77,$10.56
06/11/2021,$10.55,6582280,$10.43,$10.58,$10.41
06/10/2021,$10.43,6815021,$10.31,$10.45,$10.265
06/09/2021,$10.31,8444852,$10.43,$10.47,$10.28
06/08/2021,$10.4,10288480,$10.42,$10.43,$10.31
06/07/2021,$10.36,13369870,$10.495,$10.54,$10.31
06/04/2021,$10.49,8523946,$10.47,$10.53,$10.41
06/03/2021,$10.4,13007110,$10.59,$10.62,$10.37
06/02/2021,$10.65,9478311,$10.78,$10.78,$10.57
06/01/2021,$10.75,10386040,$10.98,$10.98,$10.69
05/28/2021,$10.84,9683163,$10.881,$10.905,$10.8
05/27/2021,$10.77,14868730,$10.56,$10.83,$10.451
05/26/2021,$10.58,12144240,$10.57,$10.7,$10.56
05/25/2021,$10.52,12566950,$10.4,$10.56,$10.32
05/24/2021,$10.39,10368440,$10.36,$10.51,$10.345
05/21/2021,$10.32,14660610,$10.49,$10.5,$10.31
05/20/2021,$10.46,17027160,$10.42,$10.5795,$10.41
05/19/2021,$10.37,13018180,$10.07,$10.43,$10.01
05/18/2021,$10.2,16562480,$10.18,$10.48,$10.17
05/17/2021,$10.14,12025470,$10.17,$10.21,$10.02
05/14/2021,$10.23,10057090,$10,$10.25,$9.9301
05/13/2021,$9.87,13780240,$10.059,$10.07,$9.76
05/12/2021,$9.94,16675510,$10.22,$10.39,$9.92
05/11/2021,$10.38,15626230,$10.102,$10.49,$10.1
05/10/2021,$10.33,20128600,$10.88,$10.92,$10.25
05/07/2021,$10.99,15043660,$10.77,$11.165,$10.74
05/06/2021,$10.71,30496210,$10.65,$10.8,$10.32
05/05/2021,$10.14,21986590,$10.31,$10.465,$10.055
05/04/2021,$10.19,20099000,$10.56,$10.5889,$10.0401
05/03/2021,$10.63,15346500,$10.86,$10.95,$10.6
04/30/2021,$10.82,11311170,$11.05,$11.12,$10.82
04/29/2021,$11.12,8748266,$11.154,$11.17,$10.98
04/28/2021,$11.06,12559040,$11,$11.22,$10.95
04/27/2021,$11.02,17700690,$11.02,$11.37,$10.97
04/26/2021,$11.03,16151900,$10.76,$11.07,$10.69
04/23/2021,$10.67,11957980,$10.66,$10.79,$10.59
04/22/2021,$10.63,8831547,$10.58,$10.77,$10.52
04/21/2021,$10.59,9788504,$10.41,$10.6,$10.37
04/20/2021,$10.48,9805043,$10.56,$10.62,$10.44
04/19/2021,$10.59,18696400,$10.89,$10.8918,$10.49
